,Unnamed: 0,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
12166,12166,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Boz,3.0 L/249 a.g./Dizel,126 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",79 000 USD,5.0,1.0,Avropa
12167,12167,Bakı,Chevrolet,Aveo,2013,Sedan,Ağ,1.4 L/100 a.g./Benzin,190 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 500 AZN,4.0,1.0,Avropa
12168,12168,Bakı,Opel,Vectra,1997,Sedan,Yaşıl,2.0 L/136 a.g./Benzin,412 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 950 AZN,4.0,1.0,Avropa
12169,12169,Bakı,Chevrolet,Aveo,2009,Sedan,Tünd qırmızı,1.2 L/84 a.g./Benzin,117 250 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 600 AZN,5.0,1.0,Avropa
12170,12170,Bakı,Mitsubishi,Pajero,2009,Offroader / SUV,Ağ,3.0 L/190 a.g./Benzin,148 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",26 800 AZN,7.0,1.0,Yaponiya
12171,12171,Bakı,Subaru,Forester,2021,Offroader / SUV,Yaş Asfalt,2.5 L/185 a.g./Benzin,20 000 km,Variator,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",57 900 AZN,5.0,1.0,Avropa
12172,12172,Bakı,Land Rover,Defender,2022,Offroader / SUV,Qara,3.0 L/400 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",147 555 USD,5.0,1.0,Avropa
12173,12173,Bakı,Nissan,Tiida,2012,Hetçbek,Ağ,1.5 L/109 a.g./Benzin,42 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 700 AZN,5.0,1.0,Yaponiya
12174,12174,Bakı,Volkswagen,ID.6,2022,Offroader / SUV,Göy,0.0 L/204 a.g./Elektro,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",45 900 USD,5.0,1.0,Avropa
12175,12175,Bakı,BMW,X5,2014,Offroader / SUV,Ağ,4.4 L/450 a.g./Benzin,115 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",47 800 USD,5.0,2.0,Avropa
12176,12176,Bakı,Toyota,Prado,2013,Offroader / SUV,Ağ,2.7 L/163 a.g./Benzin,195 300 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 800 USD,7.0,1.0,Avropa
12177,12177,Şamaxı,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,87 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 800 AZN,5.0,1.0,Rusiya
12178,12178,Bakı,Mercedes,G 63 AMG,2012,Offroader / SUV,Qara,5.5 L/544 a.g./Benzin,138 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",68 000 USD,5.0,1.0,Avropa
